stub on http://127.0.0.1:8843/console

| מצב | רוחב | קבוצה | מה נבדק | סוג | הנמדד | הערה | |
| light | 390 | כדור ההתחברות | **לפני** — בלי ההזזה הלחיצה נופלת על הכדור | לפני | elementFromPoint → qa-pill | הגבול ‎min-width: 901px‎ ששרד עד כאן היה נשען על כך שאין דבר בקצה הזה בטלפון | ✅ |
| light | 390→1280 | שינוי רוחב | מעבר לפריסה הרחבה בזמן שהלוח פתוח | תיקון | display: flex/row · aria-expanded="false" · הלחצן none | הכלל הפותח יושב בתוך ה-media query, ולכן גם תכונה שנשארה אינה שוברת את הרחב | ✅ |
| light | 1280 | רגרסיה — רחב | חמשת הפקדים נגישים כשהיו, והלחצן מדולג | תיקון | עצירות #2, #3, #4, #5, #6 מתוך 13 · לחצן: מדולג |  | ✅ |
| light | 1280 | רגרסיה — רחב | ההזזה של הכדור ברוחב 1280 לא זזה | תיקון | 68px | הכלל אינו עוד בתוך media query, והערך ברוחב הזה חייב להישאר מה שהיה | ✅ |
| dark | 390 | לפני | חמשת הפקדים אינם קיימים בטלפון | לפני | 0/5 בסבב הטאבים · לחצן תפריט: אין | הכלל שנשלח קודם, מוזרק חזרה לאותו דף חי. חייב לעבור, אחרת לא היה כאן באג. הסבב כולו: 8 עצירות | ✅ |
| dark | 390 | סגור | לחצן התפריט מוצג ונגיש במקלדת | תיקון | display: flex · עצירה #2 מתוך 9 [a.skip@16 › #nav-toggle › a.btn btn-primary@39 › a.btn btn-ghost@40 › a.btn btn-light@135 › a.btn btn-primary@145 › a.btn btn-light@154 › a.btn btn-ghost@160 › a.@166] | הצהרנו ‎inline-flex‎; הוא ילד של flex ולכן הערך המחושב הוא ‎flex‎ — הנבדק הוא שאינו ‎none‎ | ✅ |
| dark | 390 | סגור | הלוח מוסתר, וה-ARIA אומר את אותו הדבר | תיקון | display: none · aria-expanded="false" · data-open="false" |  | ✅ |
| dark | 390 | סגור | הלחצן מצביע על הלוח (aria-controls) | תיקון | aria-controls="nav-links" |  | ✅ |
| dark | 390 | סגור | לוח סגור יוצא מסדר הטאבים ולא רק מהעין | תיקון | 0/5 בסבב הטאבים | display:none ולא שקיפות — אחרת חמש עצירות טאב על פקדים בלתי נראים | ✅ |
| dark | 390 | סגור | טבעת המיקוד מוצהרת אצלנו ולא של הדפדפן | תיקון | solid 2px #7ea6ff | צפוי #7ea6ff — ‎.nav a‎ אינו תופס ‎<button>‎ | ✅ |
| dark | 390 | סגור | הטבעת נצבעת בפועל, וניגודיותה מול הסרגל (1.4.11 ⇐ 3:1) | תיקון | 7.37:1 · 448 פיקסלים בצבע הטוקן | משטח מורכב: #081930 · התאמת צבע מדויקת, לא הפיקסל החזק ברצועה | ✅ |
| dark | 390 | פתוח | Enter על הלחצן פותח, וה-ARIA זז איתו | תיקון | display: flex/column · aria-expanded="true" |  | ✅ |
| dark | 390 | פתוח | הלוח נפרש מתחת לסרגל ואינו דוחף אותו | תיקון | תחתית הסרגל 68px · ראש הלוח 68px |  | ✅ |
| dark | 390 | פתוח | חמשת הפקדים נגישים במקלדת, בסדר ה-DOM ואחרי הלחצן | תיקון | עצירות #3, #4, #5, #6, #7 מתוך 14 · הלחצן #2 | הלחצן לפני הלוח ב-DOM ולכן גם בסבב: מגיעים, פותחים, וממשיכים אל מה שנחשף | ✅ |
| dark | 390 | פתוח | יעד המגע של פריטי הלוח (2.5.8 ⇐ 24px, יעד 44px) | תיקון | 44, 44, 44, 44, 44px · הלחצן 44px | הלחצן היה 33px בריצה הראשונה — עובר את 24px של 2.5.8 ולא את יעד ה-44px של הפריטים שהוא פותח | ✅ |
| dark | 390 | סגירה | Escape סוגר ומחזיר את המיקוד ללחצן | תיקון | aria-expanded="false" · המיקוד על nav-toggle | בלי ההחזרה המיקוד יושב על קישור שהרגע נעשה display:none, כלומר על body | ✅ |
| dark | 390 | סגירה | הקשה על עוגן פנימי סוגרת את הלוח | תיקון | aria-expanded="false" | אחרת הלוח נשאר פרוש מעל המקטע שאליו קפצנו | ✅ |
| dark | 390 | סגירה | הקשה מחוץ לסרגל סוגרת את הלוח | תיקון | aria-expanded="false" |  | ✅ |
| dark | 390 | כדור ההתחברות | הלחיצה על לחצן התפריט מגיעה אליו ולא לכדור | תיקון | elementFromPoint → nav-toggle | כדור מדומה 96×36 ב-10/8, ‎--more30-auth-inset: 118px‎ — בדיוק מה ש-auth-button.js כותב מתחת ל-480px | ✅ |
| dark | 390 | כדור ההתחברות | **לפני** — בלי ההזזה הלחיצה נופלת על הכדור | לפני | elementFromPoint → qa-pill | הגבול ‎min-width: 901px‎ ששרד עד כאן היה נשען על כך שאין דבר בקצה הזה בטלפון | ✅ |
| dark | 390→1280 | שינוי רוחב | מעבר לפריסה הרחבה בזמן שהלוח פתוח | תיקון | display: flex/row · aria-expanded="false" · הלחצן none | הכלל הפותח יושב בתוך ה-media query, ולכן גם תכונה שנשארה אינה שוברת את הרחב | ✅ |
| dark | 1280 | רגרסיה — רחב | חמשת הפקדים נגישים כשהיו, והלחצן מדולג | תיקון | עצירות #2, #3, #4, #5, #6 מתוך 13 · לחצן: מדולג |  | ✅ |
| dark | 1280 | רגרסיה — רחב | ההזזה של הכדור ברוחב 1280 לא זזה | תיקון | 68px | הכלל אינו עוד בתוך media query, והערך ברוחב הזה חייב להישאר מה שהיה | ✅ |

38/38 עוברים. 4 שורות "לפני": 4 אישרו שהבאג אכן היה שם.
